country,date,experiment_id,order_id,spend_usd,user_bucket,user_id,vertical
,,12624549,,0,3,1.10E+19,
JP,4/1/17,12624549,7.58E+18,6.455542,9,1.57E+19,GAMES
JP,4/2/17,12624549,1.49E+19,2.151847,9,1.57E+19,GAMES
JP,4/6/17,12624549,4.91E+18,2.166158,9,1.57E+19,GAMES
,,12624548,,0,12,1.55E+19,
,,12624549,,0,1,1.82E+19,
,,12624549,,0,15,1.40E+19,
,,12624549,,0,7,9.72E+16,
,,12624549,,0,16,1.47E+19,
,,12624549,,0,3,5.09E+18,
,,12624549,,0,12,5.61E+18,
,,12624549,,0,3,8.55E+18,
,,12624548,,0,1,1.15E+19,
,,12624548,,0,6,5.49E+17,
,,12624549,,0,16,4.44E+18,
,,12624548,,0,10,2.91E+18,
,,12624549,,0,3,1.67E+19,
,,12624549,,0,9,1.40E+19,
,,12624548,,0,9,3.74E+18,
,,12624548,,0,16,1.13E+19,
,,12624548,,0,9,4.22E+17,
,,12624548,,0,10,6.89E+18,
,,12624549,,0,5,1.26E+19,
US,4/7/17,12624548,6.64E+17,0.99,13,8.95E+17,GAMES
US,4/1/17,12624548,6.96E+18,0.99,13,8.95E+17,GAMES
US,4/5/17,12624548,7.99E+18,0.99,13,8.95E+17,GAMES
US,4/3/17,12624548,2.95E+18,0.99,13,8.95E+17,GAMES
US,4/5/17,12624548,5.87E+18,4.99,13,8.95E+17,GAMES
US,4/4/17,12624548,4.08E+18,0.99,13,8.95E+17,GAMES
US,4/2/17,12624548,1.11E+19,6.99,13,8.95E+17,GAMES
US,4/1/17,12624548,3.23E+18,0.99,13,8.95E+17,GAMES
US,4/5/17,12624548,1.25E+19,0.99,13,8.95E+17,GAMES
US,4/6/17,12624548,5.74E+18,0.99,13,8.95E+17,GAMES
US,4/7/17,12624548,8.91E+18,0.99,13,8.95E+17,GAMES
US,4/1/17,12624548,3.52E+18,0.99,13,8.95E+17,GAMES
US,4/7/17,12624548,1.72E+19,0.99,13,8.95E+17,GAMES
,,12624548,,0,6,3.55E+18,
,,12624549,,0,19,1.16E+19,
,,12624548,,0,1,3.48E+18,
,,12624549,,0,11,2.95E+18,
,,12624548,,0,19,1.24E+19,
,,12624548,,0,9,6.87E+18,
,,12624549,,0,16,3.12E+18,
,,12624548,,0,9,3.28E+18,
,,12624549,,0,12,1.49E+19,
,,12624549,,0,17,8.69E+18,
,,12624548,,0,10,1.45E+19,
,,12624549,,0,16,5.39E+18,
,,12624549,,0,20,1.49E+18,
,,12624548,,0,12,5.24E+18,
,,12624549,,0,9,8.61E+16,
,,12624548,,0,20,9.09E+18,
,,12624549,,0,20,4.00E+18,
,,12624548,,0,10,1.43E+18,
,,12624549,,0,3,2.51E+18,
,,12624549,,0,18,1.70E+19,
US,4/6/17,12624548,1.80E+19,4.99,12,8.31E+18,GAMES
,,12624549,,0,2,1.60E+19,
,,12624548,,0,9,2.63E+18,
,,12624549,,0,14,2.74E+18,
,,12624549,,0,15,8.26E+18,
,,12624548,,0,20,2.67E+18,
,,12624548,,0,13,1.04E+18,
,,12624549,,0,3,6.09E+18,
,,12624549,,0,14,1.11E+19,
,,12624549,,0,19,1.52E+19,
,,12624549,,0,9,8.80E+18,
,,12624548,,0,18,2.11E+18,
